"Property Name",,"vi-VN","Node Path","Description"
"Value","Cannot find a descendant of the XafApplication class to detect settings of your application in the following folder(s):
{0}
For a Windows Forms application, this folder(s) must contain your application executable file.
For an ASP.NET application, this folder(s) must contain the assembly continaing your WebApplication descendant.","Không tìm thấy một hậu duệ của lớp XafApplication để phát hiện các thiết lập của ứng dụng trong (các) thư mục sau: {0} Đối với một ứng dụng Windows Forms, (các) thư mục này phải chứa các tập tin thực thi ứng dụng. Đối với một ứng dụng ASP.NET, (các) thư mục này phải chứa các assembly continaing của HttpApplication. ","Localization\Exceptions\SystemExceptions\CannotFindDescendantOfXafApplicationClass",
"Value","Can't find ListView with ID='{0}'","Không tìm thấy ListView với ID='{0}'","Localization\Exceptions\SystemExceptions\CannotFindListViewWithId",
"Value","Cannot find the '{0}' member within the '{1}' class","Cannot find the '{0}' member within the '{1}' class","Localization\Exceptions\SystemExceptions\CannotFindTheMemberWithinTheClass",
"Value","Cannot find the '{0}' property within the '{1}' class","Không tìm thấy thuộc tính '{0}' nằm trong lớp '{1}'","Localization\Exceptions\SystemExceptions\CannotFindThePropertyWithinTheClass",
"Value","Cannot generate content: the 'ClassName' attribute is empty","Không thể sinh nội dung: thuộc tính 'ClassName' trống","Localization\Exceptions\SystemExceptions\CannotGenerateContent",
"Value","Cannot obtain the editing object","Không thể có được đối tượng đang sửa","Localization\Exceptions\SystemExceptions\CannotObtainTheEditingObject",
"Value","Cannot process the requested url","Không thể xử lý url yêu cầu","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrl",
"Value","Cannot process the requested url, the '{0}' action item was not found","Không thể xử lý url yêu cầu, mục hành động '{0}' không được tìm thấy","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrlActionItemWasNotFound",
"Value","Cannot read dictionary from '{0}' resource of the '{1}' assembly","Không thể đọc được từ điển từ tài nguyên '{0}' của assembly '{1}'","Localization\Exceptions\SystemExceptions\CannotReadDictionaryFromResource",
"Value","Cannot set EditValue by the '{0}' text, available values:\r\n{1}","Không thể thiết lập giá trị '{0}' cho EditValue, các giá trị có thể dùng:\r\n{1}","Localization\Exceptions\SystemExceptions\CannotSetEditValueAvailableValues",
"Value","Cannot set EditValue by the '{0}' text, list is empty","Không thể thiết lập giá trị '{0}' cho EditValue, danh sách rỗng","Localization\Exceptions\SystemExceptions\CannotSetEditValueListIsEmpty",
"Value","Cannot show view, unknown context: '{0}'","Không thể hiển thị view, không rõ ngữ cảnh: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownContext",
"Value","Cannot show view, unknown target: '{0}'","Không thể hiển thị view, không rõ mục tiêu: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownTarget",
"Value","Class '{0}' doesn't implement interface '{1}'","Lớp '{0}' không thể thực thi giao diện '{1}'","Localization\Exceptions\SystemExceptions\ClassDoesntImplementInterface",
