"Property Name",,"ru","Node Path","Description"
"Value","Confirm Delete","Подтвердить удаление","Localization\Controls\SchedulerAspNetModule\DeleteRecurrencePopupControlHeader",
"Value","Recurrence","Повторение","Localization\Controls\SchedulerAspNetModule\RecurrencePopupControlHeader",
"Value","Remove recurrence","Удалить повторение","Localization\Controls\SchedulerAspNetModule\RecurrencePopupControlRemoveRecurrence",
"Caption","Open","Открыть","ActionDesign\Actions\OpenCategory",
"Caption","Fill Categories","Заполнить категории","ActionDesign\Actions\FillCategories",
"Caption","Categorize Images","Сортировать изображения","ActionDesign\Actions\CategorizeImages",
"Caption","Image Preview List Mode","Режим просмотра изображений","ActionDesign\Actions\ImagePreviewListMode",
"Caption","List","Список","ActionDesign\Actions\ImagePreviewListMode\ChoiceActionItems\List",
"Caption","Thumbnails","Миниатюры","ActionDesign\Actions\ImagePreviewListMode\ChoiceActionItems\Thumbnails",
"Caption","Assembly Image Source Browser","Обозреватель изображений из сборок","BOModel\DevExpress.ExpressApp.Demos.Win.AssemblyImageSourceBrowser",
"Caption","Category","Категория","BOModel\DevExpress.ExpressApp.Demos.Win.CategoryString",
"Caption","Name","Имя","BOModel\DevExpress.ExpressApp.Demos.Win.CategoryString\OwnMembers\Name",
"Caption","Images","Изображения","BOModel\DevExpress.ExpressApp.Demos.Win.CategoryString\OwnMembers\Images",
"Caption","File Image Source Browser","Обозреватель изображений из файлов","BOModel\DevExpress.ExpressApp.Demos.Win.FileImageSourceBrowser",
"Caption","Image Browser Category","Категория обозревателя изображений","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory",
"Caption","Owner","Владелец","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\Owner",
"Caption","Parent Category","Родительская категория","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\ParentCategory",
"Caption","Child Categories","Дочерние категории","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\ChildCategories",
"Caption","Name","Имя","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\Name",
"Caption","Image Node","Узел изображения","BOModel\DevExpress.ExpressApp.Demos.Win.ImageNode",
"Caption","Image","Изображение","BOModel\DevExpress.ExpressApp.Demos.Win.ImageNode\OwnMembers\Image",
"Caption","Image","Изображение","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject",
"Caption","Image Name","Имя изображения","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\ImageName",
"Caption","Small","Небольшое","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image12x12",
"Caption","Original","Исходное","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image16x16",
"Caption","Large","Большое","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image32x32",
"Caption","Dialog","Диалоговое","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image48x48",
"Caption","Original Image","Исходное изображение","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\OriginalImage",
"Caption","Categories","Категории","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Categories",
"Caption","Images Group Node","Изображения группы узла","BOModel\DevExpress.ExpressApp.Demos.Win.ImagesGroupNode",
"Caption","Images","Изображения","BOModel\DevExpress.ExpressApp.Demos.Win.ImagesGroupNode\OwnMembers\Images",
"Caption","Image Source Browser","Обозреватель источника изображений","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase",
"Caption","Image Source Name","Название источника изображений","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase\OwnMembers\ImageSourceName",
"Caption","Image Categories","Категории изображений","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase\OwnMembers\ImageCategories",
"Caption","Categories","Категории","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase\OwnMembers\Categories",
"Caption","Images","Изображения","NavigationItems\Items\Images",
"Caption","Image Preview Object","Предварительный просмотр изображений","Views\ImagePreviewObject_DetailView\Layout\Main\SimpleEditors\ImagePreviewObject",
"Value","Chart data vertical","Показать данные вертикально","Localization\PivotGridModule\ChartDataVertical",
"Value","Chart options","Параметры диаграммы","Localization\PivotGridModule\ChartOptions",
"Value","Clear settings","Сброс параметров","Localization\PivotGridModule\ClearSettings",
"Value","Hide Chart","Скрыть диаграмму","Localization\PivotGridModule\HideChart",
"Value","Invoke Wizard","Вызвать мастер","Localization\PivotGridModule\InvokeWizard",
"Value","Show Chart","Показать диаграмму","Localization\PivotGridModule\ShowChart",
"Value","Show column grand totals","Показать колонку общих итогов","Localization\PivotGridModule\ShowColumnGrandTotals",
"Value","Show column totals","Показать колонку итогов","Localization\PivotGridModule\ShowColumnTotals",
"Value","Show row grand totals","Показать строку общих итоги","Localization\PivotGridModule\ShowRowGrandTotals",
"Value","Show row totals","Показать строку итогов","Localization\PivotGridModule\ShowRowTotals",
"Caption","Bind Analysis Data","Подключить данные для анализа","ActionDesign\Actions\BindAnalysisData",
"Caption","Unbind Analysis Data","Отключить данные для анализа","ActionDesign\Actions\UnbindAnalysisData",
"Value","Chart","Диаграмма","Localization\Controls\AnalysisControl\ChartTabCaption",
"Value","Chart type","Тип диаграммы","Localization\Controls\AnalysisControl\ChartTypeCaption",
"Value","Chart Wizard","Мастер диаграмм","Localization\Controls\AnalysisControl\ChartWizardText",
"Value","The current pivot grid settings cannot be used to construct a chart of the '{0}' type.","Текущая сводная таблица не может быть создана для  '{0}' диаграммы","Localization\Controls\AnalysisControl\IncorrectChartTypeErrorMessage",
"Value","Pivot","Сводная таблица","Localization\Controls\AnalysisControl\PivotTabCaption",
"Value","Print the chart","Печать диаграммы","Localization\Controls\AnalysisControl\PrintChartText",
"Value","Show Column Grand Total","Показать колонку Общий Итог","Localization\Controls\AnalysisControl\ShowColumnGrandTotalText",
"Value","Show Row Grand Total","Показать строку Общий Итог","Localization\Controls\AnalysisControl\ShowRowGrandTotalText",
"RelatedAnalysisGroupCaption",,"Анализ","NavigationItems",
"Caption","Print PivotGrid","Печать сводной таблицы","ActionDesign\Actions\PrintPreviewPivotGrid",
"Caption","Print Chart","Печать диаграммы","ActionDesign\Actions\PrintChart",
"Caption","ChartWizard","Мастер создания диаграммы","ActionDesign\Actions\ChartWizard",
"Caption","Show in Report","Показать в Отчете","ActionDesign\Actions\ShowInReport",
"ToolTip","Show selected records in a report","Показать выбранные записи в отчете","ActionDesign\Actions\ShowInReport",
"Caption","Report","Отчет","BOModel\DevExpress.ExpressApp.Reports.ReportData",
"Caption","Report Name","Название отчета","BOModel\DevExpress.ExpressApp.Reports.ReportData\OwnMembers\ReportName",
"Caption","Data Type","Тип данных","BOModel\DevExpress.ExpressApp.Reports.ReportData\OwnMembers\DataTypeCaption",
"Caption","Is Inplace Report","Встроенный отчет","BOModel\DevExpress.ExpressApp.Reports.ReportData\OwnMembers\IsInplaceReport",
"Value","Data Type","Тип данных","Localization\Controls\ReportsModule\DataType",
"Value","Filter","Фильтр","Localization\Controls\ReportsModule\Filter",
"Value","Filter Description","Описание фильтра","Localization\Controls\ReportsModule\FilterDescription",
"Value","Filter For Design Preview","Фильтр для превью в дизайнере","Localization\Controls\ReportsModule\FilterForDesignPreview",
"Value","Filtering","Фильтрация","Localization\Controls\ReportsModule\Filtering",
"Value","Is Parametrized","Параметризован","Localization\Controls\ReportsModule\IsParametrized",
"Value","Parameters Object Type","Тип объекта параметров","Localization\Controls\ReportsModule\ParametersObjectType",
"Value","Report Name","Название отчета","Localization\Controls\ReportsModule\ReportName",
"RelatedReportsGroupCaption",,"Отчеты","NavigationItems",
"Caption","Reports","Отчеты","NavigationItems\Items\Reports\Items\Reports",
"Caption","Reports","Отчеты","Views\ReportData_ListView",
"Caption","Edit","Редактировать","ActionDesign\Actions\EditReportController.Edit",
"Caption","Preview","Предварительный просмотр","ActionDesign\Actions\PreviewReport",
"Caption","Show Report Designer","Показать дизайнер отчетов","ActionDesign\Actions\ShowReportDesigner",
"Caption","Execute Report","Выполнить отчет","ActionDesign\Actions\ExecuteReport",
"Caption","New Xaf Report Wizard Parameters","Параметры мастера нового отчета","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters",
"Caption","Report Type","Тип отчета","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters\OwnMembers\ReportType",
"Caption","Report Name","Название отчета","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters\OwnMembers\ReportName",
"Caption","Data Type","Тип данных","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters\OwnMembers\DataType",
"Value","All Files","Все файлы","Localization\Captions\AllFiles",
"Value","Export layout to file...","Экспорт разметки в файл...","Localization\Captions\ExportLayout",
"Value","Import layout from file...","Импорт разметки из файла...","Localization\Captions\ImportLayout",
"Value","Error","Ошибка","Localization\Captions\ReportDesignerError",
"Value","Warning","Предупреждение","Localization\Captions\ReportDesignerWarning",
"Value","Report Files","Файлы отчета","Localization\Captions\ReportFiles",
"Value","Report Type","Тип отчета","Localization\Enums\DevExpress.ExpressApp.Reports.Win.ReportType",
"Value","Label","Этикетка","Localization\Enums\DevExpress.ExpressApp.Reports.Win.ReportType\Label",
"Value","Standard","Стандартный","Localization\Enums\DevExpress.ExpressApp.Reports.Win.ReportType\Standard",
"Value","The Filter you have set cannot be used as a design time filter because it uses queryable fields.\r\nAn automatic variation of the filter will be created for design time use,\r\nand you can modify this filter yourself by setting the FilterForDesignPreview property.","Установленный фильтр использует запрашиваемые поля и не может быть использован в дизайнере.\r\nВ дизайнере будет использован автоматически полученный вариант фильтра.\r\nВы можете изменить этот фильтр для дизайнера самостоятельно, установив свойство FilterForDesignPreview.","Localization\Messages\ReportPreviewFilter",
"Value","Filters with queryable fields cannot be used for the FilterForDesignPreview property.","Фильтры с запрашиваемыми полями не могут быть использованы для свойства FilterForDesignPreview.","Localization\Messages\WrongReportPreviewFilter",
"Caption","New Report Wizard","Мастер нового отчета","Views\NewXafReportWizardParameters_DetailView",
"Text","To create a new report, please enter a name in the field below and select the primary data type of the report from the list.","Чтобы создать новый отчет, введите имя в поле ниже и выберите основной тип данных для отчета из списка.","Views\NewXafReportWizardParameters_DetailView\Items\ReportText",
"Caption","Static(11)","Статичный(11)","Views\NewXafReportWizardParameters_DetailView\Layout\Main\Static",
"Caption","New Report Params","Параметры нового отчета","Views\NewXafReportWizardParameters_DetailView\Layout\Main\Static\NewReportParams",
"Caption","Simple Editors","Простые редакторы","Views\NewXafReportWizardParameters_DetailView\Layout\Main\Static\NewReportParams\SimpleEditors",
"Caption","Preview","Предварительный просмотр","ActionDesign\Actions\ShowReportInPreviewWindow",
"ToolTip","Show report in preview window","Показать отчет в окне предпросмотра","ActionDesign\Actions\ShowReportInPreviewWindow",
"Caption","Preview","Предварительный просмотр","ActionDesign\Actions\ReportViewerDialogController_Preview",
"Caption","Close","Закрыть","ActionDesign\Actions\ReportViewerDialogController_Close",
"Value","Press OK to download the report","Нажмите OK, чтобы загрузить отчет","Localization\Captions\DownloadReportMessage",
"Caption","View","Представление","ActionDesign\Actions\ChangeVariant",
"ToolTip","Switch current view representation","Сменить текущий вариант представления","ActionDesign\Actions\ChangeVariant",
"RelatedViewVariantsGroupCaption","View Variants","Варианты представления","NavigationItems",
"Caption","Save Script","Сохранить скрипт","ActionDesign\Actions\SaveScriptForDialogWindow",
"Caption","Pause Recording","Приостановить записи","ActionDesign\Actions\PauseRecording",
"Caption","Resume Recording","Возобновить запись","ActionDesign\Actions\ResumeRecording",
"Caption","Show Script","Показать скрипт","ActionDesign\Actions\ShowScript",
"Caption","Save Script","Сохранить скрипт","ActionDesign\Actions\SaveScript",
"Caption","Script","Скрипт","BOModel\DevExpress.ExpressApp.ScriptRecorder.Script",
"Caption","Script Log","Журнал скрипта","BOModel\DevExpress.ExpressApp.ScriptRecorder.Script\OwnMembers\ScriptLog",
"Caption","EasyTest Recorder","Запись EasyTest","ActionDesign\Actions\EasyTestRecorder",
"Value","Back Color","Цвет заднего плана","Localization\Controls\HtmlEditor\BackcolorHint",
"Value","Bold","Жирный","Localization\Controls\HtmlEditor\BoldHint",
"Value","Copy","Копировать","Localization\Controls\HtmlEditor\CopyHint",
"Value","Cut","Вырезать","Localization\Controls\HtmlEditor\CutHint",
"Value","Font","Шрифт","Localization\Controls\HtmlEditor\FontCaption",
"Value","Font","Шрифт","Localization\Controls\HtmlEditor\FontHint",
"Value","Font Size","Размер шрифта","Localization\Controls\HtmlEditor\FontSizeCaption",
"Value","Font Size","Размер шрифта","Localization\Controls\HtmlEditor\FontSizeHint",
"Value"," Fore Color"," Цвет текста","Localization\Controls\HtmlEditor\ForecolorHint",
"Value","Indent","Отступ","Localization\Controls\HtmlEditor\IndentHint",
"Value","Insert Hyperlink","Вставить гиперссылку","Localization\Controls\HtmlEditor\InsertHyperlinkHint",
"Value","Insert Image","Вставить картинку","Localization\Controls\HtmlEditor\InsertImageHint",
"Value","Insert Ordered List","Вставить упорядоченный список","Localization\Controls\HtmlEditor\InsertOrderedListHint",
"Value","Insert Unordered List","Вставить неупорядоченный список","Localization\Controls\HtmlEditor\InsertUnorderedListHint",
"Value","Italic","Курсив","Localization\Controls\HtmlEditor\ItalicHint",
"Value","Justify Center","Выравнивание по центру","Localization\Controls\HtmlEditor\JustifyCenterHint",
"Value","Justify Full","Выравнивание по ширине страницы","Localization\Controls\HtmlEditor\JustifyFullHint",
"Value","Justify Left","Выравнивание по левому краю","Localization\Controls\HtmlEditor\JustifyLeftHint",
"Value","Justify Right","Выравнивание по правому краю","Localization\Controls\HtmlEditor\JustifyRightHint",
"Value","Outdent","Выступ","Localization\Controls\HtmlEditor\OutdentHint",
"Value","Paste","Вставить","Localization\Controls\HtmlEditor\PasteHint",
"Value","Redo","Повторить","Localization\Controls\HtmlEditor\RedoHint",
"Value","Remove Formating","Удалить форматирование","Localization\Controls\HtmlEditor\RemoveFormatingHint",
"Value","Remove Hyperlink","Удалить гиперссылку","Localization\Controls\HtmlEditor\RemoveHyperlinkHint",
"Value","Strikeout","Зачеркнуть","Localization\Controls\HtmlEditor\StrikeoutHint",
"Value","Address","Адрес","Localization\Controls\HtmlEditor\StyleAddressCaption",
"Value","Heading","Заголовок","Localization\Controls\HtmlEditor\StyleHeadingCaption",
"Value","Normal","Нормальный","Localization\Controls\HtmlEditor\StyleNormalCaption",
"Value","Styles","Стили","Localization\Controls\HtmlEditor\StylesCaption",
"Value","Styles","Стили","Localization\Controls\HtmlEditor\StylesHint",
"Value","Subscript","Нижний индекс","Localization\Controls\HtmlEditor\SubscriptHint",
"Value","Superscript","Верхний индекс","Localization\Controls\HtmlEditor\SuperscriptHint",
"Value","Design","Редактор","Localization\Controls\HtmlEditor\TabDesignCaption",
"Value","Underline","Подчеркнуть","Localization\Controls\HtmlEditor\UnderlineHint",
"Value","Undo","Отменить","Localization\Controls\HtmlEditor\UndoHint",
"Value","Object is not valid","Недопустимый объект","Localization\Controls\SchedulerModuleBase\ObjectNotValid",
"Value","Warning","Предупреждение","Localization\Controls\SchedulerModuleBase\RecurrenceChangingHeader",
"Value","All the exceptional occurrences of the current recurring event will be lost. Are you sure?","Все возникающие исключения в текущем событии будут потеряны. Вы хотите продолжить?","Localization\Controls\SchedulerModuleBase\RecurrenceChangingMessage",
"Caption","Refresh KPI","Обновить KPI","ActionDesign\Actions\RefreshKpi",
"Caption","Show Chart","Показать диаграмму","ActionDesign\Actions\ShowChart",
"Caption","Base Kpi Object","Базовый KPI объект","BOModel\DevExpress.ExpressApp.Kpi.BaseKpiObject",
"Caption","IDate Range","Интервал IDate","BOModel\DevExpress.ExpressApp.Kpi.IDateRange",
"Caption","Name","Имя","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\Name",
"Caption","Caption","Название","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\Caption",
"Caption","Start Point","Начальная точка","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\StartPoint",
"Caption","End Point","Конечная точка","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\EndPoint",
"Caption","Kpi","KPI","BOModel\DevExpress.ExpressApp.Kpi.KpiDashboardOrganizationItem\OwnMembers\Kpi",
"Caption","Actions Toolbar Visibility","Видимость панели инструментов","BOModel\DevExpress.ExpressApp.Kpi.KpiDashboardOrganizationItem\OwnMembers\ActionsToolbarVisibility",
"Caption","Definition","Определение","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition",
"Caption","Name","Имя","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Name",
"Caption","Active","Активный","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Active",
"Caption","Target Object Type","Тип целевого объекта","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\TargetObjectType",
"Caption","Criteria","Критерий","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Criteria",
"Caption","Expression","Выражение","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Expression",
"Caption","Green Zone","Зеленая зона","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\GreenZone",
"Caption","Red Zone","Красная зона","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\RedZone",
"Caption","Range","Диапазон","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Range",
"Caption","Compare","Сравнение","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Compare",
"Caption","Range To Compare","Диапазон для сравнения","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\RangeToCompare",
"Caption","Measurement Frequency","Частота измерения","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\MeasurementFrequency",
"Caption","Direction","Направление","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Direction",
"Caption","Period","Период","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Period",
"Caption","Current","Текущий","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Current",
"Caption","Objects","Объекты","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Objects",
"Caption","Suppressed Series","Скрытые дапазоны","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\SuppressedSeries",
"Caption","Enable Customize Representation","Включить настройку представления","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\EnableCustomizeRepresentation",
"Caption","Kpi History Item","Элемент истории KPI","BOModel\DevExpress.ExpressApp.Kpi.KpiHistoryItem",
"Caption","Range Start","Начало диапазона","BOModel\DevExpress.ExpressApp.Kpi.KpiHistoryItem\OwnMembers\RangeStart",
"Caption","Range End","Конец диапазона","BOModel\DevExpress.ExpressApp.Kpi.KpiHistoryItem\OwnMembers\RangeEnd",
"Caption","Value","Значение","BOModel\DevExpress.ExpressApp.Kpi.KpiHistoryItem\OwnMembers\Value",
"Caption","KPI","Экземпляр KPI","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance",
"Caption","History Items","Элементы истории","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance\OwnMembers\HistoryItems",
"Caption","Scorecards","Оценочные таблицы","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance\OwnMembers\Scorecards",
"Caption","Name","Имя KPI","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance\OwnMembers\KpiName",
"Caption","Period","Период","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance\OwnMembers\Period",
"Caption","Current","Текущий","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance\OwnMembers\Current",
"Caption","Previous","Предыдущий","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance\OwnMembers\Previous",
"Caption","Change","Изменение","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance\OwnMembers\Change",
"Caption","Trend","Тенденция","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance\OwnMembers\Trend",
"Caption","Sparkline","Мини-график","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance\OwnMembers\Sparkline",
"Caption","Chart Data Source","Источник данных диаграммы","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance\OwnMembers\ChartDataSource",
"Caption","Gauge Data Source","Источник данных индикатора","BOModel\DevExpress.ExpressApp.Kpi.KpiInstance\OwnMembers\GaugeDataSource",
"Caption","Scorecard","Оценочная таблица","BOModel\DevExpress.ExpressApp.Kpi.KpiScorecard",
"Caption","Name","Имя","BOModel\DevExpress.ExpressApp.Kpi.KpiScorecard\OwnMembers\Name",
"Caption","Indicators","Индикаторы","BOModel\DevExpress.ExpressApp.Kpi.KpiScorecard\OwnMembers\Indicators",
"Value","Kpi","KPI","Localization\DashboardOrganizationItems\Kpi",
"Value","Day Month Ago","День месяц назад","Localization\DateRanges\DayMonthAgo",
"Value","Day Week Ago","День неделю назад","Localization\DateRanges\DayWeekAgo",
"Value","Day Year Ago","День год назад","Localization\DateRanges\DayYearAgo",
"Value","Last Month To Date","Последний месяц","Localization\DateRanges\LastMonthToDate",
"Value","Last Ten Days","Последние десять дней","Localization\DateRanges\LastTenDays",
"Value","Last Thirty Days","Последние тридцать дней","Localization\DateRanges\LastThirtyDays",
"Value","Last Three Days","Последние три дня","Localization\DateRanges\LastThreeDays",
"Value","Last Week To Date","Последняя неделя","Localization\DateRanges\LastWeekToDate",
"Value","Last Year To Date","Последний год","Localization\DateRanges\LastYearToDate",
"Value","Now","Сейчас","Localization\DateRanges\Now",
"Value","This Month To Date","Текущий месяц","Localization\DateRanges\ThisMonthToDate",
"Value","This Week To Date","Текущая неделя","Localization\DateRanges\ThisWeekToDate",
"Value","This Year To Date","Текущий год","Localization\DateRanges\ThisYearToDate",
"Value","Today","Сегодня","Localization\DateRanges\Today",
"Value","Yesterday","Вчера","Localization\DateRanges\Yesterday",
"Value","Trend","Тенденция","Localization\Enums\DevExpress.ExpressApp.Editors.Trend",
"Value","Better","Лучше","Localization\Enums\DevExpress.ExpressApp.Editors.Trend\Better",
"Value","No change","Нет изменений","Localization\Enums\DevExpress.ExpressApp.Editors.Trend\NoChange",
"Value","Worse","Хуже","Localization\Enums\DevExpress.ExpressApp.Editors.Trend\Worse",
"Value","Direction","Направление","Localization\Enums\DevExpress.ExpressApp.Kpi.Direction",
"Value","High is better","Чем больше тем лучше","Localization\Enums\DevExpress.ExpressApp.Kpi.Direction\HighIsBetter",
"Value","Low is better","Чем меньше тем лучше","Localization\Enums\DevExpress.ExpressApp.Kpi.Direction\LowIsBetter",
"Value","Current","Текущий","Localization\Enums\DevExpress.ExpressApp.Kpi.MeasurementType\Current",
"Value","Previous","Предыдущий","Localization\Enums\DevExpress.ExpressApp.Kpi.MeasurementType\Previous",
"Value","Time Interval Type","Тип временного интервала","Localization\Enums\DevExpress.ExpressApp.Kpi.TimeIntervalType",
"Value","Day","День","Localization\Enums\DevExpress.ExpressApp.Kpi.TimeIntervalType\Day",
"Value","Hour","Час","Localization\Enums\DevExpress.ExpressApp.Kpi.TimeIntervalType\Hour",
"Value","Month","Месяц","Localization\Enums\DevExpress.ExpressApp.Kpi.TimeIntervalType\Month",
"Value","Week","Неделя","Localization\Enums\DevExpress.ExpressApp.Kpi.TimeIntervalType\Week",
"Value","Year","Год","Localization\Enums\DevExpress.ExpressApp.Kpi.TimeIntervalType\Year",
"Value","The '{0}' range is not found.","Диапазон '{0}' не найден","Localization\Exceptions\RangeNotFound",
"Value","Vs","против","Localization\Texts\VersusText",
"Caption","Definition","Определение","Views\KpiDefinition_DetailView\Layout\Tabs\Definition",
"Caption","Criteria","Критерий","Views\KpiDefinition_DetailView\Layout\Tabs\Definition\SimpleEditors\SizeableEditors",
"Caption","MeasurementOptions","Параметры измерения","Views\KpiDefinition_DetailView\Layout\Tabs\Definition\Options\OptionsTabs\MeasurementOptions",
"Caption","Zones","Зоны","Views\KpiDefinition_DetailView\Layout\Tabs\Definition\Options\OptionsTabs\Zones",
"Caption","Preview","Предварительный просмотр","Views\KpiDefinition_DetailView\Layout\Tabs\Preview",
"Caption","Objects","Объекты","Views\KpiDefinition_DetailView\Layout\Tabs\Preview\Objects_Group",
"Caption","Preview.Objects_Group","Группа предпросмотра объектов","Views\KpiDefinition_DetailView\Layout\Tabs\Preview\Preview.Objects_Group",
"Caption","Change State","Изменить состояние","ActionDesign\Actions\ChangeStateAction",
"ToolTip","Change state of the current object","Изменить состояние текущего объекта","ActionDesign\Actions\ChangeStateAction",
"Caption","Caption","Наименование","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCState\OwnMembers\Caption",
"Caption","Marker Object","Маркер","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCState\OwnMembers\MarkerObject",
"Caption","Target Object Criteria","Критерий целевого объекта","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCState\OwnMembers\TargetObjectCriteria",
"Caption","State Machine","Конечный автомат","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCState\OwnMembers\StateMachine",
"Caption","Transitions","Переходы","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCState\OwnMembers\Transitions",
"Caption","Appearances","Внешний вид","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCState\OwnMembers\Appearances",
"Caption","IDCState Appearance","Внешний вид IDCState","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance",
"Caption","State","Состояние","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\State",
"Caption","Target Items","Целевые элементы","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\TargetItems",
"Caption","Appearance Item Type","Тип элемента внешнего вида","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\AppearanceItemType",
"Caption","Method","Метод","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\Method",
"Caption","Context","Контекст","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\Context",
"Caption","Declaring Type","Декларирующий тип","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\DeclaringType",
"Caption","Priority","Приоритет","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\Priority",
"Caption","Font Style","Стиль шрифта","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\FontStyle",
"Caption","Font Color","Цвет шрифта","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\FontColor",
"Caption","Back Color","Цвет фона","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\BackColor",
"Caption","Visibility","Видимость","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\Visibility",
"Caption","Enabled","Включен","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateAppearance\OwnMembers\Enabled",
"Caption","IDCState Machine","Конечный автомат","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateMachine",
"Caption","Name","Имя","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateMachine\OwnMembers\Name",
"Caption","Active","Активность","BOModel\DevExpress.ExpressApp.StateMachine.Dc.IDCStateMachine\OwnMembers\Active",
